Working... ━                                          3% 0:02:00
         2807150 function calls (2787663 primitive calls) in 4.346 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   133/64    0.000    0.000    0.001    0.000 core.py:3883(<listcomp>)
       89    0.000    0.000    0.001    0.000 typing.py:1563(__getitem__)
       53    0.000    0.000    0.001    0.000 util.py:240(_make_synonym_function)
        1    0.000    0.000    0.001    0.001 configparser.py:1(<module>)
      129    0.000    0.000    0.001    0.000 artist.py:1212(_internal_update)
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _ratio.py:1(<module>)
       15    0.000    0.000    0.001    0.000 _make.py:640(__init__)
       18    0.000    0.000    0.001    0.000 rcsetup.py:662(cycler)
        2    0.000    0.000    0.001    0.001 console.py:1624(print)
      782    0.001    0.000    0.001    0.000 inspect.py:735(unwrap)
       14    0.000    0.000    0.001    0.000 patches.py:259(get_transform)
     2278    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      135    0.000    0.000    0.001    0.000 typing.py:1572(copy_with)
       18    0.000    0.000    0.001    0.000 lines.py:287(__init__)
    14440    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 axes3d.py:42(Axes3D)
        7    0.000    0.000    0.001    0.000 enum.py:891(_convert_)
       19    0.000    0.000    0.001    0.000 text.py:104(__init__)
        3    0.000    0.000    0.001    0.000 _common.py:1(<module>)
